checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
autoresearch_crypto8_daily/wd_01,8sym,30,5.5,91.8,1.457,18.54,25,76.0,1.2
autoresearch_crypto8_daily/wd_01,8sym,60,22.4,242.0,2.633,18.55,53,62.3,1.1
autoresearch_crypto8_daily/wd_01,8sym,90,-19.78,-59.09,-0.919,47.45,70,52.9,1.3
autoresearch_crypto8_daily/wd_01,8sym,120,-31.8,-68.77,-1.118,50.54,99,50.5,1.2
autoresearch_crypto8_daily/wd_01,8sym,180,-6.71,-13.13,0.371,53.72,151,53.6,1.2
autoresearch_crypto8_daily/wd_05,8sym,30,13.64,373.91,2.821,18.55,27,74.1,1.1
autoresearch_crypto8_daily/wd_05,8sym,60,-7.36,-37.17,-0.169,29.79,51,60.8,1.2
autoresearch_crypto8_daily/wd_05,8sym,90,1.68,7.01,0.665,29.37,71,62.0,1.3
autoresearch_crypto8_daily/wd_05,8sym,120,-14.88,-38.75,-0.093,34.82,102,56.9,1.2
autoresearch_crypto8_daily/wd_05,8sym,180,8.79,18.64,0.892,32.17,152,53.3,1.2
autoresearch_crypto8_daily/wd_1,8sym,30,-9.9,-71.89,-1.013,20.46,25,60.0,1.2
autoresearch_crypto8_daily/wd_1,8sym,60,5.32,37.07,1.084,18.55,49,51.0,1.2
autoresearch_crypto8_daily/wd_1,8sym,90,-31.75,-78.76,-1.985,41.83,74,51.4,1.2
autoresearch_crypto8_daily/wd_1,8sym,120,-40.31,-79.19,-1.651,43.34,97,52.6,1.2
autoresearch_crypto8_daily/wd_1,8sym,180,-67.54,-89.79,-2.538,74.03,148,43.9,1.2
autoresearch_daily/baseline_anneal_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,30,6.59,117.43,2.078,17.62,24,54.2,1.2
autoresearch_daily/baseline_anneal_lr,BTCUSD+ETHUSD+SOLUSD+LTCUSD+AVAXUSD,60,35.21,526.63,4.432,20.25,43,58.1,1.4
